dreamID	ground
1	"((1_2012210001:29,3_2012210001:29):51,(4_2212210001:29,2_2112210001:29):51)root;"
2	"(((((4_1111211121:5,19_1111211121:5):47,(1_1112111121:10,14_1112111021:10):42):53,((2_0110212021:5,3_0110212021:5):52,(9_0110212111:14,12_0110212101:14):43):48):45,((8_1111111111:41,17_1111111111:41):54,(13_1111111121:41,15_1111111121:41):54):56):41,(((7_1111211021:27,6_1111211121:27):62,18_1111011001:89):62,((11_2110212011:40,16_2110111011:40):55,(5_1110011221:40,10_1120211221:40):55):56):41)root;"
3	"(((((2_2112211021:18,20_2112211021:18):44,(12_2112211021:19,14_2112211021:19):43):66,((1_2112211021:7,18_2112211021:7):50,(8_2112211021:4,4_2112211021:4):53):71):50,(5_1111111111:136,((10_2110211111:30,9_2110211111:30):48,(3_2111211121:28,13_2111211121:28):50):58):42):33,(((15_0011011221:33,11_1111011221:33):41,(7_1112011221:29,19_1112011221:29):45):48,((16_1110111121:6,17_2100211221:6):68,6_2112210021:74):48):89)root;"
4	"((5_2202210001:61,1_2202000001:61):124,((3_2221012200:50,6_2221012221:50):69,(4_2100000012:48,2_2020000001:48):71):66)root;"
5	"((3_2102111000:15,2_2100111000:15):52,(1_2100101000:22,4_2100001000:22):45)root;"
6	"((((2_0112211001:19,11_0102211001:19):42,(1_0122210001:20,5_0122211101:20):41):46,(12_2102211221:17,7_2002211221:17):90):104,(((20_2111111211:12,3_2111111111:12):110,((10_0122202200:25,16_0122211221:25):50,(6_0102211201:28,18_0102200201:28):47):47):46,(((17_2101101101:32,19_2121101101:32):44,(14_2101101221:33,15_2101101221:33):43):46,((13_2011210021:29,8_2101200021:29):49,(4_2111101001:27,9_2111101001:27):51):44):46):43)root;"
7	"(((3_0102011000:31,9_2002111000:31):97,((5_2102111021:39,8_2102111021:39):44,(7_2100101000:34,1_2002110021:34):49):45):43,(2_2100101000:109,(4_2100101000:66,6_2100101000:66):43):63)root;"
8	"(((9_2102111000:136,(4_2100101000:11,5_2100101000:11):124):45,(((3_2121101121:4,1_2121101121:4):69,(19_2121101101:12,7_2121101101:12):61):57,((8_2211100221:12,18_2111101221:12):63,(15_2110101221:22,2_2111101221:22):53):55):50):31,(((6_2122111100:35,13_2122111100:35):43,(10_2122111100:24,11_2122111100:24):54):53,((14_0111001001:17,12_0111001001:17):59,(16_2101101001:21,17_0101001001:21):55):55):80)root;"
9	"(((3_2102111000:87,(5_2100101000:30,6_0100001000:30):57):56,((11_0122011101:36,9_0112011201:36):56,(13_0122011101:39,8_0112011201:39):53):51):45,(((7_1212210021:23,1_0112011021:23):56,(12_2212110021:28,10_2212110021:28):51):53,(4_0110201021:25,2_0110201021:25):107):56)root;"
10	"(((12_2001120012:11,7_2001120012:11):112,((13_2100121100:9,4_2120121100:9):48,(8_2120121100:15,9_2120121100:15):42):66):56,(((14_0122011121:20,11_2102111000:20):44,(2_2122111221:21,3_2122111221:21):43):58,((10_2102111221:24,1_2102111221:24):48,(5_2112111221:22,6_2102112221:22):50):50):57)root;"
11	"(((((16_1111101001:20,23_1111001011:20):47,(17_1111001011:13,5_1111001011:13):54):51,((7_1111101000:22,26_1111001011:22):39,(3_1111101011:15,6_1111001011:15):46):57):43,(((25_1111001011:9,11_1111001000:9):54,(21_1111101001:14,20_1111001011:14):49):46,(12_1111001001:63,(24_1101001000:22,15_2100101000:22):41):46):52):50,((18_1110001011:124,((27_1101001211:31,10_1111001011:31):49,(8_1111001200:38,19_1111001200:38):42):42):48,((((29_1111001211:1,14_1111001211:1):42,28_1111001211:44):39,(1_2101101000:39,4_1111001211:39):44):46,((22_1111001011:42,9_2100001000:42):41,(13_2100001000:36,2_1111001011:36):47):46):41):41)root;"
